Date,AAPL,IBM,MCD,KO,PEP,JNJ,ORCL,PFE,WMT
2010-07-06,8.879643,118.030594,66.110001,25.215,61.639999,59.080002,22.32,13.557875,48.57
2010-07-07,9.238214,121.414917,67.309998,25.735001,62.93,60.610001,23.09,13.870968,48.919998
2010-07-08,9.2175,122.342255,69.019997,26.209999,64.0,61.380001,23.219999,14.060721,49.18
2010-07-09,9.272143,122.332695,69.220001,26.200001,63.5,60.540001,23.370001,14.013283,49.43
2010-07-12,9.188929,123.011475,69.940002,26.225,63.740002,60.209999,23.379999,14.165085,50.119999
2010-07-13,8.992857,124.741875,70.839996,26.360001,63.43,60.5,23.709999,14.032258,50.540001
2010-07-14,9.026071,124.971321,70.900002,26.41,63.560001,60.619999,23.940001,14.079696,50.349998
2010-07-15,8.980357,124.971321,71.330002,26.424999,63.16,60.259998,23.83,14.108159,50.41
2010-07-16,8.925,122.39962,69.940002,26.184999,62.450001,59.439999,23.27,13.814042,49.669998
2010-07-19,8.770714,124.082214,69.910004,26.135,62.049999,59.57,23.59,13.975332,49.52
2010-07-20,8.996071,120.984703,70.870003,26.620001,64.730003,58.580002,23.92,13.804554,50.880001
2010-07-21,9.08,119.760994,70.110001,27.040001,63.950001,57.119999,23.559999,13.757116,50.349998
2010-07-22,9.250714,121.864243,71.400002,27.129999,64.209999,57.02,24.309999,14.051233,50.860001
2010-07-23,9.283571,122.734222,69.900002,27.375,64.449997,57.630001,24.5,13.833017,51.669998
2010-07-26,9.26,122.762909,70.870003,27.469999,64.980003,57.740002,24.639999,14.250474,51.130001
2010-07-27,9.431429,122.973228,70.400002,27.525,65.690002,58.099998,24.57,14.487666,50.959999
2010-07-28,9.32,122.782028,69.769997,27.440001,65.199997,57.830002,24.280001,14.231499,51.130001
2010-07-29,9.218214,122.39006,69.379997,27.495001,64.889999,57.830002,23.700001,14.316888,51.060001
2010-07-30,9.1875,122.753349,69.730003,27.555,64.910004,58.09,23.639999,14.231499,51.189999
2010-08-02,9.351786,125.00956,70.25,28.205,65.269997,58.720001,24.290001,14.686907,51.41
2010-08-03,9.354643,124.636711,70.449997,28.190001,65.769997,59.349998,24.209999,15.502846,51.290001
2010-08-04,9.392143,125.497131,70.690002,28.275,66.169998,59.740002,24.49,15.597723,51.599998
2010-08-05,9.346429,126.032501,70.449997,28.184999,65.580002,59.759998,24.290001,15.360531,51.619999
2010-08-06,9.288929,124.416824,71.739998,28.375,65.900002,59.959999,24.379999,15.40797,51.790001
2010-08-09,9.348214,126.19503,72.919998,28.555,66.419998,60.049999,24.26,15.578748,52.060001
2010-08-10,9.264643,126.042068,72.839996,28.49,66.529999,59.43,24.290001,15.721063,52.220001
2010-08-11,8.935357,124.120461,71.57,28.02,65.449997,58.5,23.66,15.180266,51.02
2010-08-12,8.9925,122.657745,72.059998,27.844999,65.18,58.52,22.940001,15.370019,50.43
2010-08-13,8.896429,122.246651,71.889999,27.865,65.559998,58.150002,22.66,15.256167,50.400002
2010-08-16,8.844286,122.151054,71.790001,27.940001,65.43,58.009998,22.719999,15.208729,50.41
