Date,AAPL,IBM,MCD
2011-09-07,13.711786,159.952194,89.290001
2011-09-08,13.719286,157.982788,88.610001
2011-09-09,13.481429,154.273422,85.029999
2011-09-12,13.569286,155.277252,86.190002
2011-09-13,13.736429,156.242828,86.120003
2011-09-14,13.903571,159.885284,86.75
2011-09-15,14.034286,162.60994,88.07
2011-09-16,14.303571,165.382416,88.290001
2011-09-19,14.701071,165.516251,88.809998
2011-09-20,14.766071,167.036331,89.309998
2011-09-21,14.719286,165.411087,87.519997
2011-09-22,14.350714,161.20459,85.989998
2011-09-23,14.439286,161.892929,87.370003
2011-09-26,14.398929,166.835571,89.339996
2011-09-27,14.259286,169.894836,89.739998
2011-09-28,14.178929,169.741867,88.029999
2011-09-29,13.948929,171.290634,88.779999
2011-09-30,13.618571,167.179733,87.82
2011-10-03,13.378571,165.66922,86.019997
2011-10-04,13.303571,167.05545,86.480003
2011-10-05,13.508929,169.072662,85.830002
2011-10-06,13.4775,173.699814,87.110001
2011-10-07,13.207143,174.369019,87.199997
2011-10-10,13.886071,178.412994,88.510002
2011-10-11,14.296071,176.864243,89.339996
2011-10-12,14.363929,177.934998,88.360001
2011-10-13,14.586786,178.604202,89.309998
2011-10-14,15.071429,182.151047,89.940002
2011-10-17,14.999643,178.384323,88.660004
2011-10-18,15.08,171.032501,89.639999
2011-10-19,14.236429,169.588913,89.620003
2011-10-20,14.118214,169.455063,89.010002
2011-10-21,14.031071,173.642441,92.32
2011-10-24,14.491786,174.235184,92.010002
2011-10-25,14.206071,172.428299,91.769997
2011-10-26,14.307143,173.967499,91.779999
2011-10-27,14.453214,177.705551,93.510002
2011-10-28,14.4625,179.206497,93.290001
2011-10-31,14.456429,176.510513,92.849998
2011-11-01,14.161071,173.374756,91.910004
2011-11-02,14.193214,175.831741,92.529999
2011-11-03,14.395357,179.063095,93.0
2011-11-04,14.294286,178.183563,93.809998
2011-11-07,14.276071,179.082214,94.620003
2011-11-08,14.508214,179.015289,94.599998
2011-11-09,14.117143,174.225616,92.650002
2011-11-10,13.757857,175.286804,93.260002
2011-11-11,13.736429,179.139572,94.760002
2011-11-14,13.545,179.110901,94.059998
2011-11-15,13.886786,180.449326,94.470001
2011-11-16,13.741786,178.412994,93.150002
2011-11-17,13.478929,177.562134,92.290001
2011-11-18,13.390714,177.093689,92.739998
2011-11-21,13.178929,173.499039,92.279999
2011-11-22,13.446786,173.336517,92.650002
2011-11-23,13.106786,170.124283,91.870003
2011-11-25,12.984643,169.273422,92.099998
2011-11-28,13.432857,174.196945,93.760002
2011-11-29,13.328571,172.982788,93.459999
2011-11-30,13.65,179.732315,95.519997
2011-12-01,13.854643,181.118546,95.5
2011-12-02,13.917857,181.319305,95.699997
2011-12-05,14.036071,182.447418,95.349998
2011-12-06,13.9625,184.455063,96.010002
2011-12-07,13.896071,185.516251,96.449997
2011-12-08,13.952143,183.154877,96.919998
2011-12-09,14.057857,186.00383,98.029999
2011-12-12,13.994286,183.728485,98.480003
2011-12-13,13.886071,182.74379,98.0
2011-12-14,13.578214,180.420654,97.610001
2011-12-15,13.533571,179.235184,98.139999
2011-12-16,13.607857,175.497131,97.489998
2011-12-19,13.650357,174.847031,97.239998
2011-12-20,14.141071,179.005737,98.82
2011-12-21,14.158929,173.489487,99.199997
2011-12-22,14.233929,174.034424,98.599998
2011-12-23,14.404643,176.625244,100.150002
2011-12-27,14.518929,176.816437,100.550003
2011-12-28,14.38,175.898666,99.580002
2011-12-29,14.468571,177.992355,100.809998
2011-12-30,14.464286,175.793503,100.330002
2012-01-03,14.686786,178.107071,98.839996
2012-01-04,14.765714,177.380493,99.389999
2012-01-05,14.929643,176.5392,99.830002
2012-01-06,15.085714,174.512421,100.599998
2012-01-09,15.061786,173.604202,99.639999
2012-01-10,15.115714,173.336517,99.699997
2012-01-11,15.091071,174.302109,99.93
2012-01-12,15.049643,172.60994,100.57
2012-01-13,14.993214,171.281067,100.349998
2012-01-17,15.167857,172.084137,100.550003
2012-01-18,15.325357,173.107071,101.559998
2012-01-19,15.276786,172.581268,101.260002
2012-01-20,15.010714,180.229446,101.739998
2012-01-23,15.264643,181.625244,100.949997
2012-01-24,15.014643,183.489487,98.75
2012-01-25,15.952143,183.298279,99.230003
2012-01-26,15.879643,182.581268,99.18
2012-01-27,15.974286,182.084137,98.690002
2012-01-30,16.178928,184.034424,98.690002
2012-01-31,16.302856,184.13002,99.050003
2012-02-01,16.2925,184.149139,98.400002
2012-02-02,16.254286,183.107071,98.620003
2012-02-03,16.417143,185.124283,100.010002
2012-02-06,16.570356,184.340347,99.489998
2012-02-07,16.743929,184.847031,100.910004
2012-02-08,17.024286,184.46463,100.050003
2012-02-09,17.613214,184.636703,99.989998
2012-02-10,17.622143,183.957932,99.470001
2012-02-13,17.950001,184.149139,99.650002
2012-02-14,18.195,183.766724,99.550003
2012-02-15,17.77393,183.79541,98.610001
2012-02-16,17.936071,184.531555,99.260002
2012-02-17,17.932858,184.913956,99.989998
2012-02-21,18.387501,184.885284,100.489998
2012-02-22,18.322857,185.344162,100.660004
2012-02-23,18.442499,188.919693,100.809998
2012-02-24,18.657499,189.063095,100.32
2012-02-27,18.777143,188.843216,100.360001
2012-02-28,19.121786,189.273422,99.779999
2012-02-29,19.372856,188.0784,99.279999
2012-03-01,19.445356,188.843216,99.25
2012-03-02,19.470715,190.066925,99.5
2012-03-05,19.04143,191.835571,99.940002
2012-03-06,18.937857,188.585083,99.889999
2012-03-07,18.953215,189.072662,100.18
2012-03-08,19.356787,191.022949,96.959999
2012-03-09,19.470358,191.797318,96.839996
2012-03-12,19.714287,192.160614,96.660004
2012-03-13,20.289286,194.818359,96.779999
2012-03-14,21.056429,195.71701,97.290001
2012-03-15,20.912857,196.94072,98.040001
2012-03-16,20.913214,196.950287,97.660004
2012-03-19,21.467857,196.673035,97.730003
2012-03-20,21.64143,195.267685,97.650002
2012-03-21,21.517857,195.688339,96.720001
2012-03-22,21.405001,196.453156,95.800003
2012-03-23,21.2875,196.443588,95.550003
2012-03-26,21.677856,198.632889,96.970001
2012-03-27,21.945715,198.068832,97.339996
2012-03-28,22.057858,198.173996,97.080002
2012-03-29,21.780714,199.110901,97.639999
2012-03-30,21.4125,199.474182,98.099998
2012-04-02,22.093929,200.258133,98.360001
2012-04-03,22.475714,200.286804,99.400002
2012-04-04,22.296785,196.988525,97.480003
2012-04-05,22.63143,196.434036,98.620003
2012-04-09,22.7225,195.927338,98.879997
2012-04-10,22.444286,193.432129,97.669998
2012-04-11,22.364286,193.671127,98.559998
2012-04-12,22.241785,196.290634,97.639999
2012-04-13,21.615356,193.881454,96.970001
2012-04-16,20.718929,193.804977,96.580002
2012-04-17,21.775,198.326965,97.110001
2012-04-18,21.726429,191.328873,97.339996
2012-04-19,20.98,190.736145,95.279999
2012-04-20,20.463572,190.822174,95.940002
2012-04-23,20.417856,189.885284,95.190002
2012-04-24,20.01,191.20459,94.589996
2012-04-25,21.785713,194.617584,95.220001
2012-04-26,21.703571,196.5392,95.830002
2012-04-27,21.535713,197.715103,97.379997
2012-04-30,20.856428,197.973236,97.449997
2012-05-01,20.790358,198.852768,97.199997
2012-05-02,20.927856,198.910141,97.510002
2012-05-03,20.779285,198.12619,97.040001
2012-05-04,20.1875,195.975143,95.870003
2012-05-07,20.338572,194.789673,95.510002
2012-05-08,20.292143,192.619507,93.550003
2012-05-09,20.327856,192.380493,91.93
2012-05-10,20.375713,191.778198,91.870003
2012-05-11,20.239643,192.323135,91.900002
2012-05-14,19.936428,190.66922,90.879997
2012-05-15,19.756071,190.286804,91.010002
2012-05-16,19.502857,190.946457,91.43
2012-05-17,18.932858,189.187378,89.620003
2012-05-18,18.942142,187.265778,89.849998
2012-05-21,20.045713,189.063095,91.269997
2012-05-22,19.891787,188.164429,91.339996
2012-05-23,20.377144,187.495224,91.480003
2012-05-24,20.190001,187.466537,91.529999
2012-05-25,20.081785,185.755264,91.050003
2012-05-29,20.438213,187.820267,90.900002
2012-05-30,20.684643,185.975143,90.110001
2012-05-31,20.633215,184.416824,89.339996
2012-06-01,20.035357,180.764816,86.709999
2012-06-04,20.153214,180.248566,86.32
2012-06-05,20.10107,180.879547,87.080002
2012-06-06,20.409286,185.458893,88.660004
2012-06-07,20.418571,185.889099,88.379997
2012-06-08,20.725714,186.558319,87.75
2012-06-11,20.39893,184.043976,86.589996
2012-06-12,20.577143,185.994263,87.510002
2012-06-13,20.434286,184.608032,87.970001
2012-06-14,20.411785,186.520081,89.720001
2012-06-15,20.504642,190.344162,90.5
2012-06-18,20.920713,189.569794,90.239998
2012-06-19,20.97893,190.181641,89.599998
2012-06-20,20.919287,190.038239,88.650002
2012-06-21,20.631071,184.885284,87.639999
2012-06-22,20.789286,185.181641,88.349998
2012-06-25,20.384644,184.378586,88.120003
2012-06-26,20.429644,183.508606,89.099998
2012-06-27,20.517857,184.512421,88.330002
2012-06-28,20.323214,182.982788,88.18
2012-06-29,20.857143,186.978973,88.529999
2012-07-02,21.161428,187.217972,88.080002
2012-07-03,21.407499,187.313583,88.580002
2012-07-05,21.783571,186.701721,89.300003
2012-07-06,21.638571,182.992355,89.660004
2012-07-09,21.924643,181.328873,89.800003
2012-07-10,21.721786,178.068832,90.25
2012-07-11,21.586786,177.103256,89.529999
2012-07-12,21.389286,175.038239,91.93
2012-07-13,21.606071,177.829834,92.290001
2012-07-16,21.675358,176.663483,91.650002
