Date,Open,High,Low,Close,Adj Close,Volume
2022-12-30,181.380005,181.960007,179.289993,180.660004,174.288437,3136200
2023-01-03,180.589996,180.750000,176.570007,179.410004,173.082504,5137400
2023-01-04,179.410004,180.539993,177.550003,178.970001,172.658035,4771300
2023-01-05,177.960007,178.770004,176.860001,177.100006,170.853989,3647100
2023-01-06,178.809998,181.830002,178.800003,181.100006,174.712921,3713200
2023-01-09,180.440002,182.770004,178.809998,179.330002,173.005325,3319200
2023-01-10,178.789993,179.529999,177.089996,177.850006,171.577515,3817300
2023-01-11,179.389999,179.710007,175.679993,178.050003,171.770477,4369900
2023-01-12,177.660004,178.369995,175.320007,175.779999,169.580536,4246600
2023-01-13,175.399994,175.729996,174.169998,175.240005,169.059586,4720400
2023-01-17,176.149994,177.550003,175.490005,176.059998,169.850662,5032600
2023-01-18,175.240005,175.740005,171.330002,171.619995,165.567230,5032600
2023-01-19,171.279999,172.169998,169.479996,169.630005,163.647430,4720400
2023-01-20,168.949997,169.889999,167.460007,169.880005,163.888626,5779100
2023-01-23,170.009995,170.759995,168.720001,169.119995,163.155426,5440400
2023-01-24,169.610001,170.869995,168.449997,170.690002,164.670044,4125600
2023-01-25,170.339996,171.979996,169.339996,171.929993,165.866318,3852800
2023-01-26,171.639999,171.669998,170.039993,170.220001,164.216644,4558400
2023-01-27,169.770004,170.229996,168.580002,169.619995,163.637787,5451400
2023-01-30,169.779999,171.460007,169.139999,169.479996,163.502747,5191500
2023-01-31,170.199997,171.070007,169.320007,171.020004,164.988419,4665500
2023-02-01,170.880005,172.320007,169.509995,171.559998,165.509369,4147700
2023-02-02,169.460007,170.559998,168.509995,169.970001,163.975464,5653800
2023-02-03,170.960007,171.289993,167.050003,169.119995,163.155426,5308200
2023-02-06,169.740005,172.380005,169.589996,171.820007,165.760208,5640000
2023-02-07,170.289993,172.029999,169.259995,171.559998,165.509369,6044700
2023-02-08,171.000000,171.330002,170.240005,171.160004,165.123489,5687300
2023-02-09,175.320007,176.490005,172.039993,172.779999,166.686356,9619400
2023-02-10,173.119995,176.589996,172.649994,176.199997,169.985733,6176000
2023-02-13,176.259995,178.229996,176.039993,177.770004,171.500351,5205100
2023-02-14,177.100006,177.250000,174.789993,175.770004,169.570908,5203000
2023-02-15,175.000000,176.050003,174.589996,176.009995,169.802414,4125500
2023-02-16,174.740005,176.899994,174.539993,175.509995,169.320053,4973200
2023-02-17,175.160004,176.419998,174.830002,176.279999,170.062897,3952100
2023-02-21,175.580002,177.410004,174.669998,176.179993,169.966446,5797300
2023-02-22,176.720001,177.429993,175.770004,176.119995,169.908554,5299500
2023-02-23,176.660004,176.990005,174.990005,176.309998,170.091858,3801400
2023-02-24,175.460007,176.330002,174.289993,175.960007,169.754211,2959100
2023-02-27,176.970001,177.250000,175.649994,175.910004,169.705963,3208500
2023-02-28,174.880005,175.059998,173.199997,173.529999,167.409882,4317100
2023-03-01,172.320007,172.460007,169.119995,171.330002,165.287476,5359100
2023-03-02,170.509995,173.759995,169.779999,173.320007,168.337219,4476300
2023-03-03,173.000000,173.449997,171.330002,173.149994,168.172073,3627100
2023-03-06,172.220001,173.660004,172.220001,173.500000,168.512024,3611400
2023-03-07,173.669998,174.259995,171.869995,172.639999,167.676743,4094900
2023-03-08,172.679993,173.360001,171.779999,173.110001,168.133240,2920200
2023-03-09,173.619995,174.360001,171.199997,171.800003,166.860916,4042100
2023-03-10,172.529999,174.240005,170.960007,172.029999,167.084305,4129900
2023-03-13,172.759995,177.229996,172.610001,173.710007,168.716019,8265100
2023-03-14,172.490005,173.809998,171.570007,173.529999,168.541183,6480800
2023-03-15,173.529999,176.660004,173.190002,176.630005,171.552048,7099800
2023-03-16,176.610001,177.000000,175.320007,176.509995,171.435501,4734400
2023-03-17,176.509995,176.690002,174.229996,175.130005,170.095169,8854600
2023-03-20,176.500000,177.679993,175.509995,177.589996,172.484451,4367000
2023-03-21,177.660004,178.169998,176.279999,178.009995,172.892380,3812000
2023-03-22,177.839996,179.369995,176.419998,176.509995,171.435501,4380800
2023-03-23,176.059998,177.220001,175.020004,175.649994,170.600235,4655600
2023-03-24,176.529999,179.339996,176.389999,179.089996,173.941315,3713800
2023-03-27,179.580002,180.649994,179.309998,179.490005,174.329834,4078600
2023-03-28,179.330002,180.460007,179.330002,179.429993,174.271561,2850000
2023-03-29,180.649994,180.910004,179.990005,180.669998,175.475906,4496000
2023-03-30,181.000000,181.330002,180.080002,180.830002,175.631317,2743000
2023-03-31,182.160004,182.490005,181.320007,182.300003,177.059052,4479800
2023-04-03,181.899994,182.759995,180.399994,182.500000,177.253296,3902300
2023-04-04,182.179993,183.360001,181.100006,181.850006,176.621994,3306400
2023-04-05,183.250000,184.960007,183.059998,183.639999,178.360519,3826300
2023-04-06,183.300003,184.740005,183.100006,184.360001,179.059814,3389700
2023-04-10,183.830002,183.899994,181.690002,183.199997,177.933167,2408100
2023-04-11,183.419998,183.880005,182.759995,182.919998,177.661209,3586700
2023-04-12,182.690002,183.779999,182.250000,182.559998,177.311569,3620900
2023-04-13,182.619995,184.610001,182.110001,184.380005,179.079239,4303600
2023-04-14,183.339996,184.020004,182.919998,183.509995,178.234253,2572900
2023-04-17,184.190002,184.750000,183.479996,184.449997,179.147232,3224400
2023-04-18,184.770004,185.220001,183.740005,184.830002,179.516312,2438600
2023-04-19,185.240005,185.320007,184.259995,184.720001,179.409470,2209900
2023-04-20,184.839996,186.039993,184.199997,185.330002,180.001938,3868200
2023-04-21,185.990005,186.380005,185.130005,185.410004,180.079636,3781800
2023-04-24,186.500000,186.570007,185.020004,185.500000,180.167038,3540200
2023-04-25,186.559998,190.179993,186.240005,189.710007,184.256027,6231600
2023-04-26,188.479996,189.419998,187.869995,188.539993,183.119644,4481700
2023-04-27,188.179993,189.949997,187.509995,189.690002,184.236603,4574500
2023-04-28,189.899994,191.619995,189.639999,190.889999,185.402084,4607500
2023-05-01,190.449997,192.330002,190.279999,191.679993,186.169373,3137800
2023-05-02,191.360001,192.500000,189.750000,192.250000,186.722992,3712200
2023-05-03,192.580002,193.250000,191.779999,192.179993,186.654999,3389600
2023-05-04,193.080002,193.949997,192.160004,193.380005,187.820511,4267600
2023-05-05,192.820007,194.479996,192.389999,194.270004,188.684921,4146500
2023-05-08,193.399994,194.000000,192.649994,193.350006,187.791367,2249900
2023-05-09,193.860001,194.669998,192.710007,194.139999,188.558655,3087600
2023-05-10,194.110001,195.580002,192.669998,194.270004,188.684921,4352900
2023-05-11,194.279999,195.520004,193.000000,195.339996,189.724152,3690200
2023-05-12,195.339996,196.220001,194.949997,196.119995,190.481705,2739800
2023-05-15,196.570007,196.880005,194.000000,194.270004,188.684921,2946400
2023-05-16,194.479996,194.479996,192.539993,193.429993,187.869064,5803100
